"Date","Price","Open","High","Low","Change %"
"Jul 07, 2016","6.6810","6.6870","6.6898","6.6800","-0.18%"
"Jul 06, 2016","6.6930","6.6855","6.6977","6.6840","0.20%"
"Jul 05, 2016","6.6796","6.6651","6.6799","6.6651","0.21%"
"Jul 04, 2016","6.6653","6.6570","6.6688","6.6533","0.14%"
"Jul 01, 2016","6.6557","6.6469","6.6623","6.6469","0.12%"
"Jun 30, 2016","6.6480","6.6372","6.6563","6.6372","0.17%"
"Jun 29, 2016","6.6367","6.6467","6.6557","6.6348","-0.17%"
"Jun 28, 2016","6.6481","6.6511","6.6559","6.6445","-0.05%"
"Jun 27, 2016","6.6516","6.6390","6.6544","6.6349","0.45%"
"Jun 24, 2016","6.6218","6.5868","6.6313","6.5868","0.68%"
"Jun 23, 2016","6.5772","6.5762","6.5857","6.5708","-0.00%"
"Jun 22, 2016","6.5775","6.5924","6.5954","6.5725","-0.19%"
"Jun 21, 2016","6.5903","6.5740","6.5910","6.5730","0.20%"
"Jun 20, 2016","6.5770","6.5829","6.5829","6.5724","-0.17%"
"Jun 17, 2016","6.5884","6.5934","6.5960","6.5817","-0.05%"
"Jun 16, 2016","6.5920","6.5806","6.5930","6.5721","0.15%"
"Jun 15, 2016","6.5818","6.6060","6.6076","6.5811","-0.22%"
"Jun 14, 2016","6.5965","6.5823","6.5981","6.5823","0.16%"
"Jun 13, 2016","6.5857","6.5624","6.5926","6.5624","0.36%"
"Jun 10, 2016","6.5619","6.5619","6.5619","6.5619","0.00%"
"Jun 09, 2016","6.5619","6.5619","6.5619","6.5619","-0.01%"
"Jun 08, 2016","6.5625","6.5732","6.5739","6.5612","-0.14%"
"Jun 07, 2016","6.5715","6.5653","6.5739","6.5653","0.12%"
"Jun 06, 2016","6.5637","6.5549","6.5689","6.5549","-0.02%"
"Jun 03, 2016","6.5648","6.5825","6.5883","6.5648","-0.30%"
"Jun 02, 2016","6.5845","6.5772","6.5865","6.5769","0.14%"
"Jun 01, 2016","6.5751","6.5840","6.5944","6.5746","-0.12%"
"May 31, 2016","6.5829","6.5830","6.5889","6.5751","-0.00%"
"May 30, 2016","6.5832","6.5800","6.5847","6.5762","0.30%"
"May 27, 2016","6.5633","6.5548","6.5665","6.5544","0.10%"
"May 26, 2016","6.5570","6.5598","6.5644","6.5525","0.04%"
"May 25, 2016","6.5541","6.5594","6.5650","6.5541","-0.05%"
"May 24, 2016","6.5572","6.5515","6.5592","6.5507","0.02%"
"May 23, 2016","6.5557","6.5442","6.5599","6.5424","0.10%"
"May 20, 2016","6.5490","6.5463","6.5490","6.5385","0.03%"
"May 19, 2016","6.5470","6.5455","6.5507","6.5408","0.13%"
"May 18, 2016","6.5388","6.5253","6.5406","6.5253","0.28%"
"May 17, 2016","6.5204","6.5222","6.5309","6.5190","-0.01%"
"May 16, 2016","6.5212","6.5288","6.5332","6.5196","-0.17%"
"May 13, 2016","6.5320","6.5181","6.5343","6.5181","0.23%"
"May 12, 2016","6.5168","6.4973","6.5213","6.4973","0.38%"
"May 11, 2016","6.4920","6.5188","6.5188","6.4920","-0.40%"
"May 10, 2016","6.5183","6.5173","6.5266","6.5159","0.02%"
