"Date","Price","Open","High","Low","Change %"
"Jan 01, 2016","7.0521","7.0504","7.0580","7.0394","-0.00%"
"Dec 31, 2015","7.0524","7.0944","7.1024","7.0439","-0.62%"
"Dec 30, 2015","7.0964","7.0777","7.1061","7.0737","0.24%"
"Dec 29, 2015","7.0797","7.1144","7.1277","7.0654","-0.52%"
"Dec 28, 2015","7.1167","7.0906","7.1342","7.0886","0.11%"
"Dec 25, 2015","7.1091","7.1033","7.1104","7.0830","0.05%"
"Dec 24, 2015","7.1052","7.0650","7.1071","7.0585","0.54%"
"Dec 23, 2015","7.0670","7.0958","7.0996","7.0391","-0.43%"
"Dec 22, 2015","7.0972","7.0709","7.1166","7.0616","0.34%"
"Dec 21, 2015","7.0734","7.0379","7.0904","7.0281","0.42%"
"Dec 18, 2015","7.0441","7.0170","7.0500","7.0003","0.36%"
"Dec 17, 2015","7.0190","7.0639","7.0664","7.0001","-0.64%"
"Dec 16, 2015","7.0640","7.0614","7.1255","7.0457","0.05%"
"Dec 15, 2015","7.0602","7.0989","7.1478","7.0433","-0.56%"
"Dec 14, 2015","7.0997","7.0882","7.1372","7.0677","0.08%"
"Dec 11, 2015","7.0940","7.0413","7.1218","7.0336","0.72%"
"Dec 10, 2015","7.0433","7.0864","7.0919","7.0310","-0.62%"
"Dec 09, 2015","7.0872","6.9860","7.0975","6.9789","1.38%"
"Dec 08, 2015","6.9906","6.9432","6.9957","6.9380","0.68%"
"Dec 07, 2015","6.9436","6.9532","6.9690","6.9169","-0.36%"
"Dec 04, 2015","6.9685","6.9973","7.0108","6.9346","-0.41%"
"Dec 03, 2015","6.9972","6.7909","7.0247","6.7414","3.02%"
"Dec 02, 2015","6.7923","6.8010","6.8106","6.7500","-0.15%"
"Dec 01, 2015","6.8028","6.7602","6.8067","6.7570","0.64%"
"Nov 30, 2015","6.7593","6.7711","6.7798","6.7538","-0.22%"
"Nov 27, 2015","6.7742","6.7786","6.8044","6.7571","-0.08%"
"Nov 26, 2015","6.7793","6.7876","6.7940","6.7716","-0.15%"
"Nov 25, 2015","6.7895","6.7978","6.8307","6.7486","-0.15%"
"Nov 24, 2015","6.7994","6.7934","6.8204","6.7838","0.05%"
"Nov 23, 2015","6.7957","6.7952","6.8096","6.7666","-0.03%"
"Nov 20, 2015","6.7975","6.8497","6.8596","6.7908","-0.79%"
"Nov 19, 2015","6.8515","6.8015","6.8700","6.7996","0.67%"
"Nov 18, 2015","6.8060","6.7846","6.8277","6.7760","0.24%"
"Nov 17, 2015","6.7897","6.8076","6.8152","6.7782","-0.28%"
"Nov 16, 2015","6.8086","6.8509","6.8722","6.7981","-0.90%"
"Nov 13, 2015","6.8705","6.8868","6.8906","6.8279","-0.28%"
"Nov 12, 2015","6.8899","6.8403","6.8970","6.8064","0.71%"
"Nov 11, 2015","6.8412","6.8201","6.8547","6.8144","0.28%"
"Nov 10, 2015","6.8220","6.8384","6.8487","6.7883","-0.25%"
"Nov 09, 2015","6.8390","6.8166","6.8651","6.8077","0.22%"
"Nov 06, 2015","6.8238","6.9050","6.9198","6.8013","-1.21%"
"Nov 05, 2015","6.9071","6.8818","6.9161","6.8722","0.33%"
"Nov 04, 2015","6.8846","6.9477","6.9505","6.8692","-0.93%"
"Nov 03, 2015","6.9491","6.9790","6.9911","6.9281","-0.47%"
"Nov 02, 2015","6.9821","6.9656","7.0111","6.9593","0.41%"
